Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
"Which tubings have the characteristics (high strength, abrasion resistance) necessary for use in a high-pressure (3,000 PSI) hydraulic system for operation of landing gear and flaps?","Which tubings have the characteristics (high strength, abrasion resistance) necessary for use in a high-pressure (3,000 PSI) hydraulic system for operation of landing gear and flaps?",2024-T or 5052-0 aluminum alloy.,Corrosion-resistant steel annealed or 1/4H.,1100-1/2H or 3003-1/2H aluminum alloy.,B
"When installing bonded clamps to support metal tubing,","When installing bonded clamps to support metal tubing,",paint removal from tube is not recommended as it will inhibit corrosion.,paint clamp and tube after clamp installation to prevent corrosion.,remove paint or anodizing from tube at clamp location.,C
"In a metal tubing installation,","In a metal tubing installation,",rigid straight line runs are preferable.,tension is undesirable because pressurization will cause it to expand and shift.,a tube may be pulled in line if the nut will start on the threaded coupling.,B
Which of the following tools is best to use when cutting soft aluminum tubing?,Which of the following tools is best to use when cutting soft aluminum tubing?,Hand operated wheel-type tubing cutter.,Angle grinder with cut-off wheel.,Circular-saw equipped with an abrasive cutting wheel.,A
The primary purpose of providing suitable bends in fluid and pneumatic metal tubing runs is to,The primary purpose of providing suitable bends in fluid and pneumatic metal tubing runs is to,clear obstacles and make turns in aircraft structures.,provide for access within aircraft structures.,prevent excessive stress on the tubing.,C
Which of the following statements is true regarding minimum allowable bend radii for 1.5 inches OD or less aluminum alloy and steel tubing of the same size?,Which of the following statements is true regarding minimum allowable bend radii for 1.5 inches OD or less aluminum alloy and steel tubing of the same size?,The minimum radius for steel is greater than for aluminum.,The minimum radius for steel is less than for aluminum.,The minimum radius is the same for both steel and aluminum.,A
A gas or fluid line marked with the letters PHDAN is,A gas or fluid line marked with the letters PHDAN is,a dual-purpose pneumatic and/or hydraulic line for normal and emergency system use.,used to carry a hazardous substance.,a pneumatic or hydraulic system drain or discharge line.,B
Which statement is true regarding the variety of symbols utilized on the identifying color-code bands that are currently used on aircraft plumbing lines?,Which statement is true regarding the variety of symbols utilized on the identifying color-code bands that are currently used on aircraft plumbing lines?,Symbols are composed of various single colors according to line content.,Symbols are always black against a white background regardless of line content.,Symbols are composed of one to three contrasting colors according to line content.,B
"If a flared tube coupling nut is overtightened, where is the tube most likely to be weakened/damaged?","When a flared tube coupling nut is overtightened, where is the tube most likely to be weakened/damaged?",Along the entire length of the sleeve and tube interface.,At the edge of the sleeve and straight portion of the tube.,"At the sleeve, fitting nut, or tube flare.",C
Which statement concerning Bernoulli's principle is true?,Which statement concerning Bernoulli's principle is true?,The pressure of a fluid increases at points where the velocity of the fluid increases.,The pressure of a fluid decreases at points where the velocity of the fluid increases.,It applies only to gases and vaporized liquids.,B
"(1) Bonded clamps are used for support when installing metal tubing.|(2) Unbonded clamps are used for support when installing wiring.|Regarding the above statements,","(1) Bonded clamps are used for support when installing metal tubing.|(2) Unbonded clamps are used for support when installing wiring.|Regarding the above statements,",only 1 is true.,both 1 and 2 are true.,neither 1 nor 2 is true.,B
Which statement is true regarding flattening of tubing in bends?,Which statement is true regarding flattening of tubing in bends?,The small diameter of the flattened portion must not be less than 65 percent of the original outside diameter.,The small diameter of the flattened portion must not be less than 75 percent of the original outside diameter.,The small diameter portion in the bend cannot exceed more than 75 percent of the diameter of straight tubing.,B
A 3/8 inch aircraft high pressure flexible hose as compared to 3/8 inch metal tubing used in the same system will,A 3/8 inch aircraft high pressure flexible hose as compared to 3/8 inch metal tubing used in the same system will,have higher flow capabilities.,have equivalent flow characteristics.,usually have interchangeable applications.,B
Magnetic particle inspection is used primarily to detect,Magnetic particle inspection is used primarily to detect,distortion.,deep subsurface flaws.,flaws on or near the surface.,C
Liquid penetrant inspection methods may be used on which of the following?|,Liquid penetrant inspection methods may be used on which of the following?|,Ferrous metals and nonporous plastics.,Porous and nonporous plastics and nonferrous metals.,Ferrous and nonferrous metals and nonporous plastics.,C
"Which of these nondestructive testing methods is suitable for the inspection of most metals, plastics, and ceramics for surface and subsurface defects?","Which of these nondestructive testing methods is suitable for the inspection of most metals, plastics, and ceramics for surface and subsurface defects?",Eddy current inspection.,Magnetic particle inspection.,Ultrasonic inspection.,C
Which of the following defects are not acceptable for metal lines?,Which of the following defects are not acceptable for metal lines?,Scratches or nicks on the inside of a bend less than 10% of wall thickness.,Dents in straight section that are 10% of tube diameter.,Dents in straight section that are 20% of tube diameter.,C
"What nondestructive testing method requires little or no part preparation, is used to detect surface or near-surface defects in most metals, and may also be used to separate metals or alloys and their heat-treated conditions?","What nondestructive testing method requires little or no part preparation, is used to detect surface or near-surface defects in most metals, and may also be used to separate metals or alloys and their heat-treated conditions?",Eddy current inspection.,Ultrasonic inspection.,Magnetic particle inspection.,A
What method of magnetic particle inspection is used most often to inspect aircraft parts for invisible cracks and other defects?,What method of magnetic particle inspection is used most often to inspect aircraft parts for invisible cracks and other defects?,Residual.,Inductance.,Continuous.,C
